,TXNAME,GENENAME
645,ENSMUST00000004587.10,Clec11a
646,ENSMUST00000004614.14,Zfp110
647,ENSMUST00000004622.6,Gab2
648,ENSMUST00000004634.6,Slc1a4
649,ENSMUST00000004646.12,Coro1c
650,ENSMUST00000004655.7,Psg17
651,ENSMUST00000004657.13,Psg19
652,ENSMUST00000004673.14,Ndrg2
653,ENSMUST00000004681.13,Pnpla6
654,ENSMUST00000004683.12,Mcoln1
655,ENSMUST00000004684.12,Arhgef18
656,ENSMUST00000004686.12,Pex11g
657,ENSMUST00000004715.1,Mospd2
658,ENSMUST00000004728.11,Cd33
659,ENSMUST00000004729.4,Etfb
660,ENSMUST00000004732.6,Lim2
661,ENSMUST00000004745.8,Stxbp2
662,ENSMUST00000004749.6,Pcp2
663,ENSMUST00000004750.14,Sgce
664,ENSMUST00000004756.13,Wwox
665,ENSMUST00000004761.12,Nrf1
666,ENSMUST00000004770.6,Tyr
